URL,Version,Status,OIDs,Name,Title,Description,Used
http://dicom.nema.org/resources/ontology/DCM,01,active,"1.2.840.10008.2.16.4",DICOM Controlled Terminology Definitions,,"DICOM Code Definitions (Coding Scheme Designator ""DCM"" Coding Scheme Version ""01"")","ValueSet/1.2.250.1.213.1.1.5.647,ValueSet/1.2.250.1.213.1.1.5.645,ValueSet/1.2.250.1.213.1.1.5.620,ValueSet/1.2.250.1.213.1.1.5.87,ValueSet/1.2.250.1.213.1.1.5.84,ValueSet/1.2.250.1.213.1.1.5.672,ValueSet/1.2.250.1.213.1.1.5.85,ValueSet/1.2.250.1.213.1.1.5.660,ValueSet/1.2.250.1.213.1.1.5.619,ValueSet/1.2.250.1.213.1.1.5.618"
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender,ConceptMap/ASS-A33-AdministrativeGender-Sexe"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/1.2.250.1.213.1.1.5.180,ValueSet/1.2.250.1.213.1.1.5.188,ValueSet/1.2.250.1.213.1.1.5.187,ValueSet/1.2.250.1.213.1.1.5.186,ValueSet/1.2.250.1.213.1.1.5.185,ValueSet/1.2.250.1.213.1.1.5.184,ValueSet/1.2.250.1.213.1.1.5.183,ValueSet/1.2.250.1.213.1.1.5.182,ValueSet/JDV-J157-MomentGlucose-ENS,ValueSet/1.2.250.1.213.1.1.5.181,ValueSet/1.2.250.1.213.1.1.5.504,ValueSet/1.2.250.1.213.1.1.5.229,ValueSet/1.2.250.1.213.1.1.5.226,ValueSet/1.2.250.1.213.1.1.5.500,ValueSet/1.2.250.1.213.1.1.5.225,ValueSet/1.2.250.1.213.1.1.5.224,ValueSet/1.2.250.1.213.1.1.5.102,ValueSet/1.2.250.1.213.1.1.5.784,ValueSet/1.2.250.1.213.1.1.5.189,ValueSet/1.2.250.1.213.1.1.5.709,ValueSet/1.2.250.1.213.1.1.5.706,ValueSet/1.2.250.1.213.1.1.5.703,ValueSet/1.2.250.1.213.1.1.5.191,ValueSet/1.2.250.1.213.1.1.5.190,ValueSet/1.2.250.1.213.1.1.5.68,ValueSet/JDV-J66-TypeCode-DMP,ValueSet/1.2.250.1.213.1.1.5.194,ValueSet/1.2.250.1.213.1.1.5.193,ValueSet/1.2.250.1.213.1.1.5.192,ValueSet/1.2.250.1.213.1.1.5.713,ValueSet/1.2.250.1.213.1.1.5.757,ValueSet/1.2.250.1.213.1.1.5.710,ValueSet/1.2.250.1.213.1.1.5.511,ValueSet/1.2.250.1.213.1.1.4.2.281.24,ValueSet/1.2.250.1.213.1.1.4.2.281.23,ValueSet/1.2.250.1.213.1.1.5.36,ValueSet/1.2.250.1.213.1.1.5.122,ValueSet/1.2.250.1.213.1.1.4.2.283.6,ValueSet/1.2.250.1.213.1.1.4.2.283.4,ValueSet/1.2.250.1.213.1.1.5.482,ValueSet/1.2.250.1.213.1.1.5.480,ConceptMap/ASS-X16-CorrespondanceType-Classe-DMP,ValueSet/1.2.250.1.213.1.1.4.2.281.2,ValueSet/1.2.250.1.213.1.1.5.724,ValueSet/1.2.250.1.213.1.1.5.687,ValueSet/1.2.250.1.213.1.1.5.643,ConceptMap/ASS-X04-CorrespondanceType-Classe-CISIS,ValueSet/1.2.250.1.213.1.1.5.642,ValueSet/1.2.250.1.213.1.1.5.641,ValueSet/JDV-J154-TypeGlucose-ENS,ValueSet/1.2.250.1.213.1.1.5.728,ValueSet/1.2.250.1.213.1.1.5.80,ValueSet/1.2.250.1.213.1.1.4.2.19,ValueSet/JDV-J279-Loinc-UPNOS,ValueSet/1.2.250.1.213.1.1.5.527,ValueSet/1.2.250.1.213.1.1.5.176,ValueSet/JDV-J07-XdsTypeCode-CISIS,ValueSet/1.2.250.1.213.1.1.5.171,ValueSet/1.2.250.1.213.1.1.5.656,ValueSet/1.2.250.1.213.1.1.5.733,ValueSet/1.2.250.1.213.1.1.5.655,ValueSet/1.2.250.1.213.1.1.5.654,ValueSet/1.2.250.1.213.1.1.5.136,ValueSet/1.2.250.1.213.1.1.5.653,ValueSet/1.2.250.1.213.1.1.5.652,ValueSet/1.2.250.1.213.1.1.5.179,ValueSet/1.2.250.1.213.1.1.5.178,ValueSet/1.2.250.1.213.1.1.5.651,ValueSet/1.2.250.1.213.1.1.4.2.289.3,ValueSet/1.2.250.1.213.1.1.5.818,ValueSet/1.2.250.1.213.1.1.4.2.289.49,ValueSet/1.2.250.1.213.1.1.5.90"
http://snomed.info/sct,3.2.1,active,"2.16.840.1.113883.6.96",SNOMED_CT_INT,SNOMED CT International Edition,"SNOMED CT is a core clinical healthcare terminology that contains concepts with unique meanings and formal logic based definitions organized into hierarchies.","ValueSet/1.2.250.1.213.1.1.4.2.289.29,ValueSet/1.2.250.1.213.1.1.4.2.289.28,ValueSet/JDV-J155-MethodGlucoseSanguin-ENS,ValueSet/1.2.250.1.213.1.1.5.782,ValueSet/1.2.250.1.213.1.1.5.781,ValueSet/1.2.250.1.213.1.1.5.142,ValueSet/1.2.250.1.213.1.1.5.780,ValueSet/1.2.250.1.213.1.1.5.702,ValueSet/1.2.250.1.213.1.1.5.701,ValueSet/1.2.250.1.213.1.1.5.700,ValueSet/1.2.250.1.213.1.1.5.785,ValueSet/1.2.250.1.213.1.1.5.783,ValueSet/1.2.250.1.213.1.1.4.2.289.18,ValueSet/1.2.250.1.213.1.1.4.2.289.17,ValueSet/1.2.250.1.213.1.1.4.2.289.19,ValueSet/1.2.250.1.213.1.1.5.793,ValueSet/1.2.250.1.213.1.1.5.671,ValueSet/1.2.250.1.213.1.1.5.792,ValueSet/1.2.250.1.213.1.1.5.791,ValueSet/1.2.250.1.213.1.1.5.153,ValueSet/1.2.250.1.213.1.1.5.790,ValueSet/1.2.250.1.213.1.1.5.679,ValueSet/1.2.250.1.213.1.1.5.159,ValueSet/1.2.250.1.213.1.1.5.675,ValueSet/1.2.250.1.213.1.1.5.674,ValueSet/1.2.250.1.213.1.1.5.157,ValueSet/1.2.250.1.213.1.1.5.794,ValueSet/1.2.250.1.213.1.1.5.673,ValueSet/1.2.250.1.213.1.1.5.156,ValueSet/1.2.250.1.213.1.1.4.2.289.23,ValueSet/1.2.250.1.213.1.1.4.2.289.22,ValueSet/1.2.250.1.213.1.1.4.2.289.25,ValueSet/1.2.250.1.213.1.1.5.717,ValueSet/1.2.250.1.213.1.1.5.716,ValueSet/1.2.250.1.213.1.1.4.2.289.27,ValueSet/1.2.250.1.213.1.1.5.715,ValueSet/1.2.250.1.213.1.1.5.714,ValueSet/1.2.250.1.213.1.1.4.2.289.26,ValueSet/1.2.250.1.213.1.1.5.34,ValueSet/1.2.250.1.213.1.1.5.31,ValueSet/1.2.250.1.213.1.1.5.32,ValueSet/1.2.250.1.213.1.1.5.768,ValueSet/1.2.250.1.213.1.1.5.128,ValueSet/1.2.250.1.213.1.1.5.127,ValueSet/1.2.250.1.213.1.1.5.489,ValueSet/1.2.250.1.213.1.1.5.488,ValueSet/1.2.250.1.213.1.1.5.40,ValueSet/1.2.250.1.213.1.1.5.807,ValueSet/1.2.250.1.213.1.1.4.2.15,ValueSet/1.2.250.1.213.1.1.5.769,ValueSet/1.2.250.1.213.1.1.5.49,ValueSet/1.2.250.1.213.1.1.5.46,ValueSet/1.2.250.1.213.1.1.5.47,ValueSet/1.2.250.1.213.1.1.5.44,ValueSet/1.2.250.1.213.1.1.5.45,ValueSet/1.2.250.1.213.1.1.5.43,ValueSet/1.2.250.1.213.1.1.5.496,ValueSet/1.2.250.1.213.1.1.5.770,ValueSet/1.2.250.1.213.1.1.5.495,ValueSet/1.2.250.1.213.1.1.5.494,ValueSet/1.2.250.1.213.1.1.5.492,ValueSet/1.2.250.1.213.1.1.5.490,ValueSet/1.2.250.1.213.1.1.5.812,ValueSet/1.2.250.1.213.1.1.5.779,ValueSet/1.2.250.1.213.1.1.5.778,ValueSet/1.2.250.1.213.1.1.5.777,ValueSet/1.2.250.1.213.1.1.5.776,ValueSet/1.2.250.1.213.1.1.5.775,ValueSet/1.2.250.1.213.1.1.5.136,ValueSet/1.2.250.1.213.1.1.5.774,ValueSet/1.2.250.1.213.1.1.5.773,ValueSet/1.2.250.1.213.1.1.4.2.289.1,ValueSet/1.2.250.1.213.1.1.4.2.289.3,ValueSet/1.2.250.1.213.1.1.5.50,ValueSet/1.2.250.1.213.1.1.5.659,ValueSet/1.2.250.1.213.1.1.5.55,ValueSet/1.2.250.1.213.1.1.5.100,ValueSet/designation-use,ValueSet/1.2.250.1.213.1.1.5.746,ValueSet/1.2.250.1.213.1.1.5.228,ValueSet/1.2.250.1.213.1.1.5.623,ValueSet/1.2.250.1.213.1.1.5.744,ValueSet/1.2.250.1.213.1.1.5.743,ValueSet/1.2.250.1.213.1.1.5.621,ValueSet/1.2.250.1.213.1.1.5.741,ValueSet/1.2.250.1.213.1.1.5.740,ValueSet/1.2.250.1.213.1.1.5.62,ValueSet/1.2.250.1.213.1.1.5.629,ValueSet/1.2.250.1.213.1.1.5.628,ValueSet/1.2.250.1.213.1.1.5.749,ValueSet/1.2.250.1.213.1.1.5.627,ValueSet/1.2.250.1.213.1.1.5.748,ValueSet/1.2.250.1.213.1.1.5.747,ValueSet/1.2.250.1.213.1.1.5.64,ValueSet/1.2.250.1.213.1.1.5.595,ValueSet/1.2.250.1.213.1.1.5.111,ValueSet/1.2.250.1.213.1.1.5.594,ValueSet/1.2.250.1.213.1.1.5.197,ValueSet/1.2.250.1.213.1.1.5.757,ValueSet/1.2.250.1.213.1.1.5.756,ValueSet/1.2.250.1.213.1.1.5.117,ValueSet/1.2.250.1.213.1.1.5.512,ValueSet/1.2.250.1.213.1.1.5.754,ValueSet/1.2.250.1.213.1.1.5.115,ValueSet/1.2.250.1.213.1.1.5.478,ValueSet/1.2.250.1.213.1.1.5.598,ValueSet/1.2.250.1.213.1.1.5.114,ValueSet/1.2.250.1.213.1.1.5.631,ValueSet/JDV-J149-BodySiteBP-ENS,ValueSet/1.2.250.1.213.1.1.5.597,ValueSet/1.2.250.1.213.1.1.5.630,ValueSet/1.2.250.1.213.1.1.5.113,ValueSet/1.2.250.1.213.1.1.5.750,ValueSet/1.2.250.1.213.1.1.5.112,ValueSet/1.2.250.1.213.1.1.5.73,ValueSet/1.2.250.1.213.1.1.5.74,ValueSet/1.2.250.1.213.1.1.5.70,ValueSet/1.2.250.1.213.1.1.5.517,ValueSet/1.2.250.1.213.1.1.5.758,ValueSet/1.2.250.1.213.1.1.5.516,ValueSet/1.2.250.1.213.1.1.5.77,ValueSet/JDV-J151-BodySiteBodyTemperature-ENS,ValueSet/1.2.250.1.213.1.1.5.76,ValueSet/1.2.250.1.213.1.1.5.683,ValueSet/1.2.250.1.213.1.1.5.165,ValueSet/1.2.250.1.213.1.1.5.164,ValueSet/1.2.250.1.213.1.1.4.2.283.1,ValueSet/1.2.250.1.213.1.1.5.206,ValueSet/1.2.250.1.213.1.1.5.205,ValueSet/1.2.250.1.213.1.1.5.204,ValueSet/1.2.250.1.213.1.1.5.720,ValueSet/1.2.250.1.213.1.1.5.169,ValueSet/1.2.250.1.213.1.1.5.686,ValueSet/1.2.250.1.213.1.1.5.168,ValueSet/1.2.250.1.213.1.1.5.83,ValueSet/1.2.250.1.213.1.1.5.209,ValueSet/1.2.250.1.213.1.1.5.208,ValueSet/1.2.250.1.213.1.1.5.725,ValueSet/1.2.250.1.213.1.1.4.2.8,ValueSet/JDV-J161-Lateralite-CISIS,ValueSet/1.2.250.1.213.1.1.5.88,ValueSet/JDV-J148-ReferenceRangeAppliesTo-CISIS,ValueSet/1.2.250.1.213.1.1.5.694,ValueSet/1.2.250.1.213.1.1.5.210,ValueSet/1.2.250.1.213.1.1.4.2.2,ValueSet/1.2.250.1.213.1.1.4.2.4,ValueSet/1.2.250.1.213.1.1.5.690,ValueSet/1.2.250.1.213.1.1.5.173,ValueSet/1.2.250.1.213.1.1.4.2.6,ValueSet/JDV-J147-MethodHeartrate-ENS,ValueSet/1.2.250.1.213.1.1.5.733,ValueSet/1.2.250.1.213.1.1.5.216,ValueSet/1.2.250.1.213.1.1.5.699,ValueSet/1.2.250.1.213.1.1.5.698,ValueSet/1.2.250.1.213.1.1.5.214,ValueSet/1.2.250.1.213.1.1.5.213,ValueSet/1.2.250.1.213.1.1.5.212,ValueSet/1.2.250.1.213.1.1.5.695,ValueSet/1.2.250.1.213.1.1.5.211,ValueSet/1.2.250.1.213.1.1.4.2.289.43,ValueSet/1.2.250.1.213.1.1.5.96,ValueSet/1.2.250.1.213.1.1.5.93,ValueSet/1.2.250.1.213.1.1.4.2.289.45,ValueSet/1.2.250.1.213.1.1.5.739,ValueSet/1.2.250.1.213.1.1.4.2.289.47,ValueSet/1.2.250.1.213.1.1.5.617,ValueSet/1.2.250.1.213.1.1.4.2.289.49,ValueSet/1.2.250.1.213.1.1.4.2.289.48"
http://terminology.hl7.org/CodeSystem/condition-clinical,3.0.0,active,"2.16.840.1.113883.4.642.1.1074",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","ValueSet/2.16.840.1.113883.4.642.3.164"
http://terminology.hl7.org/CodeSystem/condition-ver-status,2.0.1,active,"2.16.840.1.113883.4.642.1.1075",ConditionVerificationStatus,ConditionVerificationStatus,"The verification status to support or decline the clinical status of the condition or diagnosis.","ValueSet/2.16.840.1.113883.4.642.3.166"
http://terminology.hl7.org/CodeSystem/icd-o-3,2.0.1,active,"2.16.840.1.113883.6.43.1",IcdO3,International Classification of Diseases for Oncology, version 3.,"International Classification of Diseases for Oncology, version 3. For more information see http://www.who.int/classifications/icd/adaptations/oncology/en/.","ValueSet/1.2.250.1.213.1.1.5.635,ValueSet/1.2.250.1.213.1.1.5.585,ValueSet/1.2.250.1.213.1.1.5.582"
http://terminology.hl7.org/CodeSystem/v2-0066,2.0.0,active,"2.16.840.1.113883.18.26",EmploymentStatus,employmentStatus,"HL7-defined code system of concepts which specify an employment status of a person. Used in HL7 Version 2 messaging in the GT1 segment.","ValueSet/2.16.840.1.113883.21.29"
http://terminology.hl7.org/CodeSystem/v2-0487,2.0.0,active,"2.16.840.1.113883.18.311",SpecimenType,specimenType,"HL7-defined code system of concepts that describe the precise nature of an entity that may be used as the source material for an observation.  This is one of two code systems that are used instead of table 0070 (code system 2.16.840.1.113883.18.28) which conflated specimen types and specimen collection methods.   Used in HL7 Version 2.x messaging in the SPM segment.","ValueSet/2.16.840.1.113883.21.327"
http://terminology.hl7.org/CodeSystem/v3-ActMood,3.0.0,active,"2.16.840.1.113883.5.1001",ActMood,ActMood,"OpenIssue: In Ballot 2009May, a strong Negative vote was lodged against several of the concept definitions in the vocabulary used for Act.moodCode. The vote was found ""Persuasive With Mod"", with the understanding that M and M would undertake a detailed review of these concept definitions for a future release of the RIM.","ValueSet/2.16.840.1.113883.1.11.10196,ValueSet/2.16.840.1.113883.1.11.10199"
http://terminology.hl7.org/CodeSystem/v3-ActPriority,3.0.0,active,"2.16.840.1.113883.5.7",ActPriority,ActPriority,"A set of codes (e.g., for routine, emergency), specifying the urgency under which the Act happened, can happen, is happening, is intended to happen, or is requested/demanded to happen.","ValueSet/2.16.840.1.113883.1.11.16866"
http://terminology.hl7.org/CodeSystem/v3-ActSite,3.0.0,active,"2.16.840.1.113883.5.1052",ActSite,ActSite,"An anatomical location on an organism which can be the focus of an act.","ValueSet/2.16.840.1.113883.1.11.19724"
http://terminology.hl7.org/CodeSystem/v3-ActStatus,3.0.0,active,"2.16.840.1.113883.5.14",ActStatus,ActStatus,"Codes representing the defined possible states of an Act, as defined by the Act class state machine.","ValueSet/2.16.840.1.113883.1.11.15933"
http://terminology.hl7.org/CodeSystem/v3-AdministrativeGender,3.0.0,active,"2.16.840.1.113883.5.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for adminstrative purposes (as opposed to clinical gender)","ValueSet/2.16.840.1.113883.1.11.1,ValueSet/1.2.250.1.213.1.1.5.517"
http://terminology.hl7.org/CodeSystem/v3-Confidentiality,3.0.0,active,"2.16.840.1.113883.5.25",Confidentiality,Confidentiality,"A set of codes specifying the security classification of acts and roles in accordance with the definition for concept domain ""Confidentiality"".","ValueSet/2.16.840.1.113883.1.11.10228"
http://terminology.hl7.org/CodeSystem/v3-EntityCode,3.0.0,active,"2.16.840.1.113883.5.1060",EntityCode,EntityCode,"*OpenIssue:* Missing description.","ValueSet/2.16.840.1.113883.1.11.16042"
http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation,3.0.0,active,"2.16.840.1.113883.5.83",ObservationInterpretation,ObservationInterpretation,"One or more codes providing a rough qualitative interpretation of the observation, such as ""normal"" / ""abnormal"", ""low"" / ""high"", ""better"" / ""worse"", ""resistant"" / ""susceptible"", ""expected"" / ""not expected"". The value set is intended to be for ANY use where coded representation of an interpretation is needed.","ValueSet/1.2.250.1.213.1.1.5.95,ValueSet/2.16.840.1.113883.1.11.78,ValueSet/1.2.250.1.213.1.1.5.92"
http://terminology.hl7.org/CodeSystem/v3-ObservationValue,4.0.0,active,"2.16.840.1.113883.5.1063",ObservationValue,ObservationValue,"This code system covers all concepts of HL7-defined values for the Observation value element, when it has a coded datatype.","ValueSet/2.16.840.1.113883.1.11.20561,ValueSet/2.16.840.1.113883.1.11.16643,ValueSet/2.16.840.1.113883.1.11.20562"
http://terminology.hl7.org/CodeSystem/v3-ParticipationFunction,3.0.0,active,"2.16.840.1.113883.5.88",ParticipationFunction,ParticipationFunction,"This code is used to specify the exact function an actor had in a service in all necessary detail. This domain may include local extensions (CWE).","ValueSet/2.16.840.1.113883.1.11.10267"
http://terminology.hl7.org/CodeSystem/v3-ParticipationType,5.0.0,active,"2.16.840.1.113883.5.90",ParticipationType,ParticipationType,"A code specifying the meaning and purpose of every Participation instance. Each of its values implies specific constraints on the Roles undertaking the participation.","ValueSet/1.2.250.1.213.1.1.5.138,ValueSet/1.2.250.1.213.1.1.5.137,ValueSet/2.16.840.1.113883.1.11.10901"
http://terminology.hl7.org/CodeSystem/v3-RoleCode,3.0.0,active,"2.16.840.1.113883.5.111",RoleCode,RoleCode,"A set of codes further specifying the kind of Role; specific classification codes for further qualifying RoleClass codes.","ValueSet/1.2.250.1.213.1.1.5.26,ValueSet/2.16.840.1.113883.1.11.16515,ValueSet/1.2.250.1.213.1.1.5.126,ValueSet/1.2.250.1.213.1.1.5.89,ValueSet/2.16.840.1.113883.1.11.19563"
http://terminology.hl7.org/CodeSystem/v3-RouteOfAdministration,3.0.0,active,"2.16.840.1.113883.5.112",RouteOfAdministration,RouteOfAdministration,"The path the administered medication takes to get into the body or into contact with the body.","ValueSet/1.2.250.1.213.1.1.4.321.39,ValueSet/2.16.840.1.113883.5.4.642.3.289,ValueSet/2.16.840.1.113883.5.112"
http://terminology.hl7.org/CodeSystem/v3-TimingEvent,3.0.0,active,"2.16.840.1.113883.5.139",TimingEvent,TimingEvent,"**** MISSING DESCRIPTION ****","ValueSet/2.16.840.1.113883.1.11.10706"
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,3.0.0,active,"2.16.840.1.113883.5.85",OrderableDrugForm,Orderable Drug Form,"*OpenIssue:* Missing description.","ValueSet/2.16.840.1.113883.1.11.14570"
http://terminology.hl7.org/CodeSystem/v3-substanceAdminSubstitution,3.0.0,active,"2.16.840.1.113883.5.1070",SubstanceAdminSubstitution,Substance Admin Substitution,"Identifies what sort of change is permitted or has occurred between the therapy that was ordered and the therapy that was/will be provided.","ValueSet/2.16.840.1.113883.1.11.16621"
http://unitsofmeasure.org,3.0.1,active,"2.16.840.1.113883.6.8",UCUM,Unified Code for Units of Measure (UCUM),"The Unified Code for Units of Measure (UCUM) is a code system intended to include all units of measures being contemporarily used in international science, engineering, and business. The purpose is to facilitate unambiguous electronic communication of quantities together with their units. The focus is on electronic communication, as opposed to communication between humans. A typical application of The Unified Code for Units of Measure are electronic data interchange (EDI) protocols, but there is nothing that prevents it from being used in other types of machine communication.","ValueSet/JDV-J37-UcumUniteTemps,ValueSet/JDV-J49-UcumUniteLongueur,ValueSet/JDV-J278-UcumUniteMesure-UPNOS,ValueSet/JDV-J163-GlucoseUnits-ENS"
https://mos.esante.gouv.fr/NOS/TRE_A00-ProducteurDocNonPS/FHIR/TRE-A00-ProducteurDocNonPS,20240329120000,active,"1.2.250.1.213.1.1.4.6",TRE_A00_ProducteurDocNonPS,,"Producteur de document non PS","ValueSet/JDV-J59-ContentTypeCode-DMP,ValueSet/JDV-J04-XdsPracticeSettingCode-CISIS,ValueSet/JDV-J62-PracticeSettingCode-DMP,ValueSet/JDV-J05-SubjectRole-CISIS,ValueSet/JDV-J03-XdsContentTypeCode-CISIS,ValueSet/JDV-J02-XdsHealthcareFacilityTypeCode-CISIS,ValueSet/JDV-J61-HealthcareFacilityTypeCode-DMP,ValueSet/JDV-J65-SubjectRole-DMP,ValueSet/JDV-J01-XdsAuthorSpecialty-CISIS,ValueSet/JDV-J56-AuthorSpecialty-DMP"
https://mos.esante.gouv.fr/NOS/TRE_A01-CadreExercice/FHIR/TRE-A01-CadreExercice,20240927120000,active,"1.2.250.1.213.1.1.4.9",TRE_A01_CadreExercice,,"Cadre d'exercice","ValueSet/JDV-J04-XdsPracticeSettingCode-CISIS,ValueSet/JDV-J62-PracticeSettingCode-DMP"
https://mos.esante.gouv.fr/NOS/TRE_A02-ProfessionSavFaire-CISIS/FHIR/TRE-A02-ProfessionSavFaire-CISIS,20241213120000,active,"1.2.250.1.213.1.1.4.5",TRE_A02_ProfessionSavFaire_CISIS,,"Profession et savoir-faire CI-SIS","ValueSet/1.2.250.1.213.1.1.5.38,ValueSet/1.2.250.1.213.1.1.5.66,ValueSet/1.2.250.1.213.1.1.5.42,ValueSet/1.2.250.1.213.1.1.5.63,ValueSet/JDV-J01-XdsAuthorSpecialty-CISIS,ValueSet/JDV-J56-AuthorSpecialty-DMP"
https://mos.esante.gouv.fr/NOS/TRE_A03-ClasseDocument/FHIR/TRE-A03-ClasseDocument,20231215120000,active,"1.2.250.1.213.1.1.4.1",TRE_A03_ClasseDocument,,"Classe de document","ValueSet/JDV-J57-ClassCode-DMP,ConceptMap/ASS-X04-CorrespondanceType-Classe-CISIS,ValueSet/JDV-J06-XdsClassCode-CISIS,ConceptMap/ASS-X16-CorrespondanceType-Classe-DMP"
https://mos.esante.gouv.fr/NOS/TRE_A05-TypeDocComplementaire/FHIR/TRE-A05-TypeDocComplementaire,20240329120000,active,"1.2.250.1.213.1.1.4.12",TRE_A05_TypeDocComplementaire,,"Type de document en complément des nomenclatures internationales","ConceptMap/ASS-X04-CorrespondanceType-Classe-CISIS,ValueSet/JDV-J66-TypeCode-DMP,ValueSet/JDV-J07-XdsTypeCode-CISIS,ConceptMap/ASS-X16-CorrespondanceType-Classe-DMP"
https://mos.esante.gouv.fr/NOS/TRE_A06-FormatCodeComplementaire/FHIR/TRE-A06-FormatCodeComplementaire,20240726120000,active,"1.2.250.1.213.1.1.4.2.282",TRE_A06_FormatCodeComplementaire,,"formatCode en complément des nomenclatures internationales","ValueSet/JDV-J60-FormatCode-DMP,ValueSet/JDV-J10-XdsFormatCode-CISIS,ConceptMap/ASS-A11-CorresModeleCDA-XdsFormatCode-CISIS"
https://mos.esante.gouv.fr/NOS/TRE_A07-StatutVisibiliteDocument/FHIR/TRE-A07-StatutVisibiliteDocument,20231215120000,active,"1.2.250.1.213.1.1.4.13",TRE_A07_StatutVisibiliteDocument,,"Restriction d'audience applicable aux objets référencés","ValueSet/JDV-J110-StatutVisibiliteDocument-CISIS,ValueSet/JDV-J58-ConfidentialityCode-DMP,ValueSet/JDV-J22-RestrictionAudienceVIHF-CISIS,ValueSet/JDV-J64-RestrictionAudienceVIHF-DMP,ValueSet/JDV-J08-XdsConfidentialityCode-CISIS"
https://mos.esante.gouv.fr/NOS/TRE_A08-HL7Confidentiality/FHIR/TRE-A08-HL7Confidentiality,20231215120000,active,"2.16.840.1.113883.5.25",TRE_A08_HL7Confidentiality,,"HL7 confidentiality","ValueSet/JDV-J58-ConfidentialityCode-DMP,ValueSet/JDV-J08-XdsConfidentialityCode-CISIS"
https://mos.esante.gouv.fr/NOS/TRE_A09-DICOMuidRegistry/FHIR/TRE-A09-DICOMuidRegistry,20231215120000,active,"1.2.840.10008.2.6.1",TRE_A09_DICOMuidRegistry,,"DICOM UID Registry","ValueSet/1.2.250.1.213.1.1.5.689,ValueSet/JDV-J60-FormatCode-DMP,ValueSet/JDV-J10-XdsFormatCode-CISIS"
https://mos.esante.gouv.fr/NOS/TRE_A10-NomenclatureURN/FHIR/TRE-A10-NomenclatureURN,20231215120000,active,"URN",TRE_A10_NomenclatureURN,,"Nomenclature identifiée par URN","ValueSet/JDV-J60-FormatCode-DMP,ValueSet/JDV-J57-ClassCode-DMP,ConceptMap/ASS-X04-CorrespondanceType-Classe-CISIS,ValueSet/JDV-J06-XdsClassCode-CISIS,ValueSet/JDV-J10-XdsFormatCode-CISIS,ConceptMap/ASS-X16-CorrespondanceType-Classe-DMP"
https://mos.esante.gouv.fr/NOS/TRE_A11-IheFormatCode/FHIR/TRE-A11-IheFormatCode,20240426120000,active,"1.3.6.1.4.1.19376.1.2.3",TRE_A11_IheFormatCode,,"IHE formatCode","ValueSet/JDV-J60-FormatCode-DMP,ValueSet/JDV-J10-XdsFormatCode-CISIS,ConceptMap/ASS-A11-CorresModeleCDA-XdsFormatCode-CISIS,ConceptMap/ASS-A12-CorresMediaTypeCDANonStructure-XdsFormatCode-CISIS"
https://mos.esante.gouv.fr/NOS/TRE_A12-NomenclatureASTM/FHIR/TRE-A12-NomenclatureASTM,20231215120000,active,"ASTM",TRE_A12_NomenclatureASTM,,"Nomenclature identifiée par ASTM","ConceptMap/ASS-X04-CorrespondanceType-Classe-CISIS,ValueSet/JDV-J66-TypeCode-DMP,ValueSet/JDV-J07-XdsTypeCode-CISIS,ConceptMap/ASS-X16-CorrespondanceType-Classe-DMP"
https://mos.esante.gouv.fr/NOS/TRE_A13-HL7ParticipationType/FHIR/TRE-A13-HL7ParticipationType,20231215120000,active,"2.16.840.1.113883.5.90",TRE_A13_HL7ParticipationType,,"HL7 Type de participation","ValueSet/JDV-J140-EncounterParticipationType-CISIS,ValueSet/JDV-J144-ParticipationType-CISIS"
https://mos.esante.gouv.fr/NOS/TRE_G00-Langue/FHIR/TRE-G00-Langue,20240927120000,active,"1.2.250.1.71.2.10",TRE_G00_Langue,,"Langue","ValueSet/JDV-J82-Langue-RASS,ValueSet/JDV-J115-Langue-ENREG"
